cousrd_id,mood,activity
1,"편안한, 힐링","쉼, 산책, 식사"
2,"편안한, 활기찬","식사, 디저트"
3,"역사적, 로맨틱, 활기찬","산책, 술, 양식"
4,"활기찬, 이국적, 트렌디","공연, 술, 양식, 일식, 전시"
5,"이국적, 트렌디, 빈티지","중식, 산책, 디저트"
6,"전통적, 야외, 역사적, 고급스러운","산책, 술, 양식, 전시"
7,"힐링, 편안한, 전통적","쉼, 산책, 한식"
8,"힐링, 로맨틱, 활기찬","전시, 한식, 체험"
9,"이국적, 빈티지, 로맨틱","음악, 술, 체험"
10,"로맨틱, 트렌디, 도시적","게임, 중식"
11,"야외, 힐링, 활기찬, 조용한, 이국적인","산책, 한식, 식사"
12,"고급스러운, 편안한","체험, 일식, 술"
13,"편안한, 활기찬, 캐쥬얼, 빈티지","피크닉, 한식, 술, 산책"
14,"캐쥬얼, 편안한, 야외, 힐링, 활기찬","산책, 술, 한식, 쉼"
16,"편안한, 아늑한, 조용한, 야외, 힐링, 활기찬","쉼, 산책"
17,"활기찬, 힐링, 편안한","산책, 쉼"
18,"활기찬, 캐쥬얼, 도시적","공연, 체험"
19,"편안한, 아늑한, 야외, 힐링","산책, 피크닉, 쉼"
20,"야외, 힐링","산책, 피크닉"
21,스포티,"체험, 방탈출"
22,"야외, 조용한",산책
23,캐주얼,식사
24,"로멘틱, 고급스러움",식사
25,활기찬,술
26,이국적,"식사, 술"
27,"이국적, 트렌디",식사
28,활기찬,체험
29,활기찬,체험
30,"아늑한, 편안한","식사, 일식"
31,아늑한,"식사, 술"
32,활기찬,"식사, 술"
33,활기찬,"식사, 술"
34,"편안한, 나른한","식사, 체험"